sentence_id,words,labels
0,united,O
0,nation,O
0,convention,O
0,against,O
0,corruption,B
1,this,O
1,decision,B
1,authorise,O
1,the,O
1,president,O
1,of,O
1,the,O
1,council,O
1,to,O
1,designate,O
1,the,O
1,person,O
1,empower,O
1,to,O
1,sign,O
1,the,O
1,united,O
1,nation,O
1,convention,O
1,against,O
1,corruption,B
1,on,O
1,behalf,O
1,of,O
1,the,O
1,european,O
1,community,O
1,.,O
2,the,O
2,convention,O
2,aim,O
2,to,O
2,boost,O
2,the,O
2,effectiveness,O
2,of,O
2,the,O
2,fight,B
2,against,I
2,corruption,B
2,",",O
2,promote,O
2,the,O
2,proper,O
2,management,O
2,of,O
2,public,B
2,affair,I
2,and,O
2,encourage,O
2,international,O
2,cooperation,O
2,and,O
2,technical,O
2,assistance,O
2,.,O
3,council,O
3,decision,B
3,on,O
3,the,O
3,signing,O
3,",",O
3,on,O
3,behalf,O
3,of,O
3,the,O
3,european,O
3,community,O
3,",",O
3,of,O
3,the,O
3,united,O
3,nation,O
3,convention,O
3,against,O
3,corruption,B
3,.,O
4,at,O
4,the,O
4,conference,O
4,hold,O
4,in,O
4,merida,O
4,mexico,O
4,from,O
4,9,O
4,to,O
4,11,O
4,december,O
4,2003,O
4,",",O
4,the,O
4,united,O
4,nation,O
4,convention,O
4,against,O
4,corruption,B
4,be,O
4,open,O
4,for,O
4,signing,O
4,.,O
5,at,O
5,its,O
5,2658th,O
5,session,O
5,on,O
5,10,O
5,may,O
5,2005,O
5,",",O
5,the,O
5,council,O
5,adopt,O
5,the,O
5,commission,B
5,proposal,O
5,concern,O
5,the,O
5,signing,O
5,of,O
5,the,O
5,convention,O
5,.,O
6,the,O
6,decision,B
6,authorise,O
6,the,O
6,president,O
6,of,O
6,the,O
6,council,O
6,to,O
6,designate,O
6,the,O
6,person,O
6,empower,O
6,to,O
6,sign,O
6,the,O
6,unite,O
6,nation,O
6,convention,O
6,on,O
6,behalf,O
6,of,O
6,the,O
6,european,O
6,community,O
6,.,O
6,on,O
6,15,O
6,september,O
6,2005,O
6,",",O
6,the,O
6,european,O
6,commission,B
6,and,O
6,the,O
6,council,O
6,presidency,O
6,sign,O
6,the,O
6,convention,O
6,on,O
6,behalf,O
6,of,O
6,the,O
6,european,O
6,community,O
6,.,O
7,the,O
7,convention,O
7,",",O
7,now,O
7,know,O
7,as,O
7,the,O
7,merida,O
7,convention,O
7,",",O
7,be,O
7,adopt,O
7,by,O
7,the,O
7,un,O
7,general,B
7,assembly,I
7,on,O
7,31,O
7,october,O
7,2003,O
7,resolution,B
7,58/4,O
7,and,O
7,be,O
7,open,O
7,for,O
7,sign,O
7,until,O
7,9,O
7,december,O
7,2005,O
7,.,O
8,produce,O
8,a,O
8,effective,O
8,instrument,O
8,against,O
8,corruption,B
9,in,O
9,december,O
9,2000,O
9,",",O
9,the,O
9,un,O
9,general,B
9,assembly,I
9,decide,O
9,to,O
9,establish,O
9,a,O
9,special,O
9,committee,O
9,open,O
9,to,O
9,all,O
9,state,O
9,for,O
9,draw,O
9,up,O
9,a,O
9,effective,O
9,international,O
9,legal,B
9,instrument,I
9,against,O
9,corruption,B
9,resolution,B
9,55/61,O
9,.,O
10,the,O
10,commission,B
10,represent,O
10,the,O
10,european,O
